dspKey,measureId,statTime,shows,clicks,requests,responses,wins,cid,adType,costs
fancy-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,1871,44,1049095,51096,7152,5,1,29.62142
dongqiudi-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,0,0,134193,0,0,5,3,0
yubo-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,58,2,575130,3157,308,5,1,0.99891
fenghuangdsp-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,36,0,317074,10485,388,5,3,0.18
quyuansu-openRTB,5a3282dee4b0ac3f73f4cd36,2020-11-06 14,0,0,91129,0,0,5,24,0
ruishi-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,0,0,54796,0,0,27,3,0
xunfei-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,1764,1,308028,2145,2126,27,5,17.93876
tianjinkuaiyou-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,68,5,318075,5337,160,29,118,1.0309
wuli-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,11045,171,1959000,141725,124579,5,3,106.43861
zhengshu-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,2499,141,137250,16476,4083,27,1,41.80731
jixin-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,0,0,100139,0,0,5,1,0
huanrui-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,0,0,109623,0,0,5,1,0
wuli-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,342986,1467,2026544,503866,478092,5,5,1749.2304
plista,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,0,0,110377,0,0,5,1,0
youtou-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,0,0,109370,0,0,5,1,0
fenghuangdsp-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,9506,45,338392,16869,11644,27,5,47.54799
pengjing-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,0,0,55242,0,0,27,1,0
ipinyou,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,992,52,330498,8325,3377,29,118,15.12947
lianxiang-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,84,0,941670,28846,137,5,1,1.81983
tianjinkuaiyou-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,0,0,96312,307,2,27,3,0
fancy-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,1528,8,766840,3524,2164,5,5,8.76352
ruishi-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,0,0,134475,0,0,5,3,0
youdaopc,5a782f1fe4b0df07aae7466f,2020-11-06 14,180,18,12395,420,419,10,23,10.8
dongqiudi-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,3,0,0,0,0,27,3,0.03208
zhimengzhineng-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,2963,86,1049079,163344,5460,5,1,67.80554
ipinyou,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,779,49,87770,1783,967,38,119,11.69279
dongqiudi-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,1074,33,352727,12967,1918,5,1,39.47709
360dsp,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,146,9,32443,608,153,36,117,0.73
fancy-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,5325,89,2162094,199322,55096,5,3,37.57007
ruishi-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,0,0,125065,0,0,5,5,0
chuanshanjia,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,1437,104,154044,48014,2609,27,1,34.74658
wuli-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,2578,18,105541,5030,3116,27,5,12.89
wuli-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,2337,148,118220,56141,14605,27,3,31.42012
chuanshanjia,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,8007,512,352683,75372,14241,40,123,111.71229
youdao,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,159,13,149435,1859,313,27,1,3.021
biyi-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,3206,184,1049296,193327,5815,5,1,114.09001
fancy-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,4779,301,154044,38636,8568,27,1,162.73684
plista,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,52,0,110237,2312,320,27,3,0.364
bingu-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,0,0,115437,0,0,5,3,0
360dsp-add,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,715,46,87770,870,858,38,119,10.725
360dsp-add,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,2809,115,603082,8837,3349,33,97,42.135
fenglanhulian-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,217,6,1003633,12075,418,5,1,4.10948
lianxiang-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,1935,8,712396,3327,2747,5,5,13.56435
meishu,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,3872,54,2162094,272391,43694,5,3,19.36
360dsp-add,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,3274,233,60114,4481,4092,36,116,16.37
wanzhuan-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,352,29,133672,1106,536,27,1,18.65362
meishu_goods,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,46,5,129205,804,73,27,1,0.69
ksosoft,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,41585,137,338392,60443,50691,27,5,207.925
jiatou-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,54073,1430,1049296,137113,87629,5,1,2054.774
youtou-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,86881,227,2248141,282661,123433,5,5,434.405
youdao,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,76,0,115087,222,109,5,5,0.38
jiatou-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,504,29,137250,22398,869,27,1,13.78466
ksosoft,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,94,0,353147,200,128,5,5,0.47
zhengshu-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,3296,106,941670,136765,6366,5,1,109.11568
quyuansu-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,8215,22,355660,14426,11759,5,5,41.8965
biyi-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,5571,327,137250,18121,8632,27,1,212.60183
xinyi-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,0,0,66068,0,0,27,1,0
zhixing-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,0,0,54756,0,0,27,3,0
jd,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,6980,35,338392,14370,8679,27,5,38.69434
360dsp,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,100,4,16203,139,113,33,96,0.5
chuanshanjiapd,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,24056,1180,1049079,95908,40993,5,1,914.128
zhimengzhineng-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,57,0,465911,1433,630,5,3,0.3034
anx-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,4380,247,154044,10250,6523,27,1,259.09176
meishu_goods,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,858,29,932518,12733,1135,5,1,12.87
hongtu-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,3771,59,1959017,68497,41800,5,3,25.14329
chuanshanjia,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,14699,660,1049079,310534,27854,5,1,208.56532
wuli-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 15,2630,8,122779,5518,3263,27,5,13.15
ipinyou,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,1093,67,325934,9267,3580,29,118,16.68342
quyuansu-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 15,18818,59,358189,26323,23690,27,5,95.9718
youdao,5a3282dee4b0ac3f73f4cd36,2020-11-06 15,24,0,112960,117,30,5,24,0.48
wanzhuan-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,0,0,103112,0,0,5,1,0
xunfei-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,52,1,118220,4581,257,27,3,0.27334
fenglanhulian-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,76,2,118220,13847,416,27,3,0.266
360dsp,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,7812,305,612903,13651,9316,33,97,117.18
youdao,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,6,0,59724,195,41,27,3,0.036
pengjing-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,2981,46,1955087,44705,34291,5,3,17.93361
pengjing-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,0,0,27347,0,0,29,118,0
chuanshanjia,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,2856,144,110237,69647,17215,27,3,41.41562
wangmai-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,13540,1074,1049280,142957,33621,5,1,394.0423
pengjing-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,0,0,66374,0,0,27,1,0
qidian,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,0,0,54149,0,0,27,3,0
ruangaoyun,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,391,15,154044,5742,742,27,1,7.24171
appic-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,2267,25,1959000,68474,24788,5,3,11.3946
yidian-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,736,73,230514,2460,937,29,108,11.12536
bingu-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,0,0,54903,0,0,27,1,0
360dsp-add,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,826,57,85699,1033,1028,38,119,12.39
chuanshanjia,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,7263,495,355096,72286,13169,40,123,102.18298
jd-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,68,0,138923,66,64,5,5,0.516
adinall,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,3517,70,1049079,34745,5995,5,1,203.54963
hongtu-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,111,3,558755,2914,404,5,1,1.69346
adinall,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,1601,78,154044,4638,2479,27,1,86.82162
chuanshanjia,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,36121,735,2162094,857358,405387,5,3,286.03399
youtou-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,0,0,54113,0,0,27,3,0
ipinyou-pd,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,1575,148,231795,4502,1750,36,112,33.075
ruangaoyun,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,2567,69,1049296,76298,5551,5,1,42.83403
quyuansu-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,104,3,118220,8057,651,27,3,0.98867
xunfei-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 15,1772,7,322989,2174,2163,27,5,18.06239
meishu,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,36,0,154044,24353,69,27,1,0.684
360dsp,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,6986,955,215057,10144,8724,29,108,104.79
yidian-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,7269,1189,1049095,52398,12781,5,1,448.44183
fancy-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,80,2,128881,157,95,27,5,0.46956
xunfei-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,37304,134,2026571,168343,50285,5,5,186.52
moyicheng-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,0,0,66374,0,0,27,1,0
anx-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,410,6,1033930,29985,739,5,1,7.4148
jiatou-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,668,27,110237,31327,4676,27,3,5.57447
360dsp,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,691,19,84353,850,850,33,94,3.455
360dsp,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,1038,37,424136,3354,1278,33,95,5.19
anx-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,0,0,123073,0,0,27,5,0
biyi-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,348,19,118220,18714,2484,27,3,2.70384
moyicheng-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,9273,242,941670,440949,19986,5,1,274.53887
wuli-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,1291,73,137250,23652,2105,27,1,39.74369
qidian,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,1,0,212793,324,1,5,1,0.045
quyuansu-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,266,24,137250,1531,442,27,1,12.30757
tianjinkuaiyou-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,192,20,1049280,17297,372,5,1,5.08651
meishu_goods,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,792,27,1036112,15497,1028,5,1,11.88
fancy-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,0,0,54106,0,0,27,3,0
youdaopc,5a782f1fe4b0df07aae7466f,2020-11-06 15,168,11,15233,405,405,10,23,6.6
jd-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,5456,159,941890,246805,9500,5,1,87.82503
jd,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,6,0,0,0,0,5,3,0.05151
pengjing-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,76,1,110237,2242,454,27,3,0.56032
youtou-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,0,0,52781,0,0,27,3,0
fansukeji-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,0,0,134270,0,0,5,3,0
adinall,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,1527,93,137250,4193,2364,27,1,81.73963
jd,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,8402,46,2026544,35775,12026,5,5,59.33499
ruangaoyun,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,402,6,294106,565,565,5,5,2.814
lianxiang-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,1816,9,693219,3109,2564,5,5,12.73016
jiatou-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 15,677,0,327164,2253,859,27,5,0.69293
wanzhuan-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,0,0,52800,0,0,27,3,0
qidian,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,12,2,129737,864,22,27,1,0.432
meishu,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,10,0,110237,5880,61,27,3,0.035
meishu,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,2764,59,1049280,344603,4781,5,1,52.516
ruishi-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,0,0,104964,0,0,5,3,0
jiatou-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,20051,348,2162077,308332,206437,5,3,175.26105
fenglanhulian-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,61,5,110237,13168,386,27,3,0.2135
zhengshu-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,37,0,159255,77,46,5,5,0.185
jingzhuntong,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,1045,19,1959000,130492,9021,5,3,10.24561
360dsp,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,495,30,16653,613,613,29,100,2.475
360dsp-add,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,6617,196,434109,16007,8851,33,95,33.085
zhixing-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,261,7,1049079,50224,465,5,1,5.62117
anx-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,351,14,941670,25500,639,5,1,6.35027
bingu-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,0,0,66551,0,0,27,1,0
fenglanhulian-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,137493,363,2248161,632767,433523,5,5,687.465
ruishi-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,0,0,116221,0,0,5,5,0
jd,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,10185,43,2248141,38570,14928,5,5,67.58126
biyi-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,3692,218,941890,157171,6770,5,1,138.92136
meishu,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,2549,57,941869,314361,4320,5,1,48.431
quyuansu-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,3534,88,941670,55879,6266,5,1,139.09262
tianjinkuaiyou-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,110,11,919447,12119,189,5,1,3.02052
plista,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,0,0,99672,0,0,5,1,0
360dsp-add,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,273,15,13725,455,280,29,101,1.365
360dsp,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,744,51,29911,853,778,29,88,3.72
qidian,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,0,0,188292,293,0,5,1,0
zhengshu-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,32,0,139830,72,43,5,5,0.16
zhixing-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 15,0,0,84708,0,0,27,5,0
youtou-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,175,11,154044,3214,280,27,1,4.53253
fenghuangdsp-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,132,6,110237,18893,911,27,3,0.46301
wuli-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,4945,87,2162077,60117,49999,5,3,50.52274
ruangaoyun,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,4,0,110069,1216,18,27,3,0.022
chuanshanjiapd,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,26299,1207,941670,95090,43891,5,1,999.362
xunfei-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,66,1,110237,5636,257,27,3,0.34212
lianxiang-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,101,5,1049079,32727,173,5,1,2.2346
jd-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,3352,123,110237,39116,19699,27,3,60.87452
ipinyou-pd,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,473,30,31244,878,586,29,88,2.6015
zhengshu-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 15,478,1,292314,1482,598,27,5,2.39
zhengshu-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,3311,110,1049079,153381,6278,5,1,116.90013
jd,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,10,0,0,0,0,5,3,0.10213
360dsp,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,8580,325,603180,15331,10494,33,97,128.7
jixin-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,0,0,65828,0,0,27,1,0
ksosoft,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,2,0,61624,5,3,27,3,0.01002
fenghuangdsp-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,19,1,136567,161,55,5,1,0.285
ksosoft,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,0,0,61063,9,3,27,3,0
xunfei-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,9433,623,352683,93155,17269,40,123,214.24512
ruishi-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,0,0,56425,0,0,27,1,0
wanzhuan-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,393,34,152595,1339,633,27,1,20.86984
meishu_goods,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,46,6,142348,832,65,27,1,0.69
jiatou-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,541,27,154044,28609,984,27,1,13.04108
shangtang-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,0,0,941670,50633,0,5,1,0
hongtu-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,0,0,106283,0,0,5,5,0
360dsp-add,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,4408,555,231798,6379,4975,36,112,66.12
zhixing-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,0,0,76348,0,0,27,5,0
ipinyou-pd,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,3277,93,1049079,73140,6384,5,1,68.817
xinyi-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,0,0,941670,13136,0,5,1,0
fenghuangdsp-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,134,6,118220,18976,908,27,3,0.47012
zhimengzhineng-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,0,0,134496,0,0,5,5,0
zhixing-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,238,1,941670,43423,427,5,1,5.1453
moyicheng-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,10229,262,1049079,504980,22333,5,1,293.16148
yidian-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,583,55,215057,2163,779,29,108,8.88883
ruangaoyun,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,4,0,118220,1253,16,27,3,0.022
ksosoft,5a782f1fe4b0df07aae7466f,2020-11-06 14,0,0,146048,0,0,10,23,0
fancypd-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,195007,8320,1049079,430643,370160,5,1,7410.266
youdao,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,903,11,1846716,21187,9624,5,3,9.933
chuanshanjiapd,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,4049,283,355096,21086,7278,40,123,153.862
quyuansu-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,3808,79,1049079,42457,6759,5,1,135.93133
jd-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,3612,165,118220,41295,20870,27,3,69.14142
plista,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,53,5,117639,2754,358,27,3,0.371
xunfei-openRTB,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,51052,163,2248161,200770,69868,5,5,255.26
360dsp,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,265,9,13725,330,275,29,101,1.325
youdao,5a3282dee4b0ac3f73f4cd36,2020-11-06 14,68,3,103659,242,86,5,24,1.36
shangtang-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,0,0,1049079,54586,0,5,1,0
bingu-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,0,0,101849,0,0,5,1,0
fancy-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,2455,59,941691,47157,9322,5,1,38.90161
jd-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,4925,118,1049296,274985,8532,5,1,75.72929
ruangaoyun,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,429,2,285793,612,607,5,5,3.003
fenglanhulian-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,29,5,149289,1566,53,27,1,0.7097
youdao,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,5,1,58168,73,23,27,3,0.03
jdGuess,5a3282dee4b0ac3f73f4cd2a,2020-11-06 15,0,0,36291,0,0,5,5,0
chuanshanjia,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,2188,125,118220,70533,13040,27,3,43.49776
xunfei-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,1373,138,154044,22103,2225,27,1,31.78358
ipinyou-pd,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,536,31,60114,1441,835,36,116,2.948
ruishi-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 15,0,0,80864,0,0,27,5,0
youdao,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,1156,14,1961916,21541,12239,5,3,12.716
anx-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,4137,251,137250,8998,6008,27,1,246.02451
fenghuangdsp-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,9,0,146172,722,27,5,1,0.135
fancypd-openRTB,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,128002,4754,941670,290053,236422,5,1,4864.076
ipinyou,5a3282dee4b0ac3f73f4cd3a,2020-11-06 15,410,16,118220,25438,2771,27,3,3.92401
jdGuess,5a3282dee4b0ac3f73f4cd2a,2020-11-06 14,0,0,16011,0,0,5,5,0
ipinyou-pd,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,4251,95,941670,72810,8413,5,1,89.271
jd,5a3282dee4b0ac3f73f4cd4c,2020-11-06 15,6862,28,358189,14630,8534,27,5,38.78107
quyuansu-openRTB,5a3282dee4b0ac3f73f4cd36,2020-11-06 15,0,0,90958,0,0,5,24,0
quyuansu-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,3959,9,132049,5983,5393,27,5,20.1909
